fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,coche,0.8434903025627136,1,1321,312,1398,371,,,,,,,
1,coche,0.4914795160293579,2,1231,313,1279,343,,,,,,,
1,coche,0.3492680490016937,3,1281,318,1320,343,,,,,,,
1,coche,0.29751139879226685,4,1274,315,1312,343,,,,,,,
2,coche,0.8148619532585144,1,1320,312,1397,371,,,,,,,
2,coche,0.47744518518447876,2,1231,313,1278,342,,,,,,,
2,coche,0.3263819217681885,3,1281,318,1320,343,,,,,,,
2,coche,0.286329984664917,4,1272,315,1310,343,,,,,,,
3,coche,0.8184184432029724,1,1319,312,1396,371,,,,,,,
3,coche,0.44420966506004333,2,1231,313,1277,342,,,,,,,
3,coche,0.3159672021865845,3,1281,318,1320,343,,,,,,,
3,coche,0.2731153964996338,4,1273,315,1310,342,,,,,,,
4,coche,0.8376427292823792,1,1317,312,1395,371,,,,,,,
4,coche,0.4852163791656494,2,1231,314,1277,342,,,,,,,
4,coche,0.28777679800987244,3,1281,317,1320,343,,,,,,,
4,coche,0.27621209621429443,4,1273,315,1311,343,,,,,,,
5,coche,0.8167283535003662,1,1316,312,1394,371,,,,,,,
5,coche,0.4523780941963196,2,1232,314,1279,343,,,,,,,
5,coche,0.2704836130142212,3,1281,317,1320,343,,,,,,,
5,coche,0.24805162847042084,4,1272,315,1310,343,,,,,,,
6,coche,0.8078848123550415,1,1316,312,1392,370,,,,,,,
6,coche,0.407726913690567,2,1232,313,1278,342,,,,,,,
6,coche,0.24594585597515106,3,1282,317,1321,343,,,,,,,
6,coche,0.23067545890808105,4,1271,315,1309,343,,,,,,,
7,coche,0.7956901788711548,1,1315,312,1391,370,,,,,,,
7,coche,0.4523327350616455,2,1231,314,1278,343,,,,,,,
7,coche,0.2478947937488556,3,1282,317,1321,343,,,,,,,
7,coche,0.24065710604190826,4,1270,315,1307,343,,,,,,,
8,coche,0.7870385646820068,1,1314,312,1389,369,,,,,,,
8,coche,0.43581685423851013,2,1229,314,1276,343,,,,,,,
8,coche,0.2404978722333908,3,1282,317,1320,343,,,,,,,
8,coche,0.23371949791908264,4,1271,315,1308,343,,,,,,,
9,coche,0.781374990940094,1,1313,312,1387,368,,,,,,,
9,coche,0.4246380031108856,2,1229,315,1274,343,,,,,,,
9,coche,0.23227494955062866,3,1282,318,1320,343,,,,,,,
9,coche,0.2276633083820343,4,1273,316,1309,343,,,,,,,
10,coche,0.8051082491874695,1,1312,312,1385,368,,,,,,,
10,coche,0.4186268150806427,2,1228,315,1273,343,,,,,,,
10,coche,0.2583765983581543,3,1283,318,1322,345,,,,,,,
10,coche,0.22232331335544586,4,1274,316,1310,343,,,,,,,
11,coche,0.8014352321624756,1,1311,312,1384,367,,,,,,,
11,coche,0.4034176766872406,2,1227,315,1272,343,,,,,,,
11,coche,0.2107677310705185,4,1273,316,1310,343,,,,,,,
12,coche,0.7824573516845703,1,1310,312,1383,368,,,,,,,
12,coche,0.4092770516872406,2,1226,315,1271,343,,,,,,,
12,coche,0.21360842883586884,4,1271,316,1309,343,,,,,,,
13,coche,0.7879356741905212,1,1309,312,1382,368,,,,,,,
13,coche,0.3224543035030365,2,1225,315,1267,342,,,,,,,
13,coche,0.201356902718544,4,1269,315,1308,343,,,,,,,
14,coche,0.7943407297134399,1,1308,312,1381,368,,,,,,,
14,coche,0.27789822220802307,2,1225,315,1265,341,,,,,,,
14,coche,0.19095611572265625,4,1268,315,1309,343,,,,,,,
15,coche,0.7785031199455261,1,1307,312,1380,368,,,,,,,
15,coche,0.3011309802532196,2,1224,315,1265,341,,,,,,,
15,coche,0.15834738314151764,4,1269,314,1311,343,,,,,,,
16,coche,0.7746706604957581,1,1307,312,1377,367,,,,,,,
16,coche,0.3061768710613251,2,1224,315,1264,341,,,,,,,
16,coche,0.15660834312438965,4,1270,313,1312,343,,,,,,,
17,coche,0.781658411026001,1,1306,313,1376,367,,,,,,,
17,coche,0.31697744131088257,2,1225,315,1264,341,,,,,,,
17,coche,0.17639432847499847,4,1270,313,1313,343,,,,,,,
18,coche,0.7763051390647888,1,1306,313,1375,367,,,,,,,
18,coche,0.2713293731212616,2,1225,315,1263,341,,,,,,,
18,coche,0.16264209151268005,4,1270,313,1314,343,,,,,,,
19,coche,0.7695615291595459,1,1306,314,1374,367,,,,,,,
19,coche,0.2755415141582489,2,1225,316,1262,341,,,,,,,
19,coche,0.14378298819065094,4,1269,312,1313,343,,,,,,,
20,coche,0.7838325500488281,1,1305,314,1372,367,,,,,,,
20,coche,0.3111453354358673,2,1226,316,1262,341,,,,,,,
20,coche,0.15667927265167236,4,1269,313,1312,343,,,,,,,
21,coche,0.7531503438949585,1,1304,313,1372,368,,,,,,,
21,coche,0.3401685357093811,2,1226,317,1262,341,,,,,,,
21,coche,0.17253141105175018,4,1269,314,1312,344,,,,,,,
22,coche,0.7304638028144836,1,1304,313,1371,368,,,,,,,
22,coche,0.3639790713787079,2,1226,317,1262,341,,,,,,,
22,coche,0.1831681728363037,4,1269,314,1311,344,,,,,,,
23,coche,0.7411263585090637,1,1304,313,1370,368,,,,,,,
23,coche,0.3892447054386139,2,1225,317,1261,341,,,,,,,
23,coche,0.18834352493286133,4,1268,314,1309,343,,,,,,,
24,coche,0.7161924242973328,1,1305,313,1369,366,,,,,,,
24,coche,0.40748393535614014,2,1226,318,1260,341,,,,,,,
24,coche,0.19241854548454285,4,1266,315,1306,343,,,,,,,
25,coche,0.7035230398178101,1,1304,312,1369,366,,,,,,,
25,coche,0.4639691114425659,2,1225,317,1261,342,,,,,,,
25,coche,0.1628117859363556,4,1267,313,1309,343,,,,,,,
26,coche,0.7073302865028381,1,1305,312,1368,366,,,,,,,
26,coche,0.44349047541618347,2,1224,318,1261,342,,,,,,,
26,coche,0.17902329564094543,4,1267,312,1309,343,,,,,,,
27,coche,0.6870438456535339,1,1304,311,1368,365,,,,,,,
27,coche,0.44994768500328064,2,1225,318,1261,342,,,,,,,
27,coche,0.1902266889810562,4,1267,312,1309,343,,,,,,,
28,coche,0.6730716824531555,1,1304,310,1368,366,,,,,,,
28,coche,0.43252143263816833,2,1224,318,1261,342,,,,,,,
28,coche,0.17241623997688293,4,1265,312,1308,343,,,,,,,
29,coche,0.6490715742111206,1,1303,309,1367,365,,,,,,,
29,coche,0.42770668864250183,2,1224,317,1261,342,,,,,,,
29,coche,0.14745935797691345,4,1264,311,1308,343,,,,,,,
30,coche,0.627009391784668,1,1303,308,1366,365,,,,,,,
30,coche,0.4000709652900696,2,1224,317,1261,342,,,,,,,
30,coche,0.15805883705615997,4,1263,311,1306,343,,,,,,,
31,coche,0.6197720170021057,1,1301,307,1364,364,,,,,,,
31,coche,0.35556748509407043,2,1225,317,1261,342,,,,,,,
31,coche,0.13792933523654938,4,1261,310,1305,343,,,,,,,
32,coche,0.638551652431488,1,1300,308,1361,363,,,,,,,
32,coche,0.29173991084098816,2,1226,318,1261,341,,,,,,,
32,coche,0.13749253749847412,4,1260,310,1304,343,,,,,,,
33,coche,0.6425170302391052,1,1300,308,1359,363,,,,,,,
33,coche,0.2601601183414459,2,1226,317,1261,341,,,,,,,
33,coche,0.1200878918170929,4,1261,310,1304,343,,,,,,,
34,coche,0.6255484819412231,1,1300,308,1358,363,,,,,,,
34,coche,0.2826969623565674,2,1226,317,1261,341,,,,,,,
34,coche,0.1280921846628189,4,1259,310,1302,343,,,,,,,
35,coche,0.6159378886222839,1,1299,308,1357,363,,,,,,,
35,coche,0.23766975104808807,2,1225,318,1260,342,,,,,,,
35,coche,0.12438645958900452,4,1258,310,1300,343,,,,,,,
36,coche,0.5972895622253418,1,1300,309,1355,363,,,,,,,
36,coche,0.3318035900592804,2,1225,318,1259,342,,,,,,,
36,coche,0.13830873370170593,4,1257,310,1298,343,,,,,,,
37,coche,0.6001519560813904,1,1300,310,1354,362,,,,,,,
37,coche,0.24575188755989075,2,1225,319,1259,342,,,,,,,
37,coche,0.13033752143383026,4,1256,311,1296,343,,,,,,,
38,coche,0.5407717823982239,1,1300,311,1352,362,,,,,,,
38,coche,0.1136016771197319,2,1224,317,1259,343,,,,,,,
38,coche,0.11730238795280457,4,1257,311,1296,343,,,,,,,
39,coche,0.4857707619667053,1,1300,313,1350,362,,,,,,,
39,coche,0.10888452082872391,4,1258,311,1296,343,,,,,,,
40,coche,0.47546759247779846,1,1301,314,1348,361,,,,,,,
40,coche,0.10632919520139694,4,1257,311,1295,342,,,,,,,
41,coche,0.4488171637058258,1,1301,314,1348,362,,,,,,,
42,coche,0.5106387734413147,1,1302,315,1347,360,,,,,,,
43,coche,0.46224236488342285,1,1301,316,1345,360,,,,,,,
44,coche,0.5339208245277405,1,1300,316,1344,361,,,,,,,
45,coche,0.41954413056373596,1,1299,316,1342,361,,,,,,,
46,coche,0.37799572944641113,1,1298,315,1342,361,,,,,,,
47,coche,0.3758198916912079,1,1298,313,1342,359,,,,,,,
48,coche,0.3110181987285614,1,1298,313,1341,358,,,,,,,
49,coche,0.2822529971599579,1,1298,314,1339,357,,,,,,,
50,coche,0.27456140518188477,1,1298,315,1338,357,,,,,,,
51,coche,0.2954208254814148,1,1297,316,1337,359,,,,,,,
52,coche,0.2854270040988922,1,1297,318,1336,359,,,,,,,
53,coche,0.2778628170490265,1,1295,319,1336,361,,,,,,,
54,coche,0.22040340304374695,1,1294,318,1336,362,,,,,,,
55,coche,0.1939006745815277,1,1291,314,1338,363,,,,,,,
56,coche,0.19358515739440918,1,1292,313,1338,361,,,,,,,
57,coche,0.1651386022567749,1,1292,312,1337,359,,,,,,,
58,coche,0.17356900870800018,1,1292,312,1333,356,,,,,,,
59,coche,0.19265562295913696,1,1291,313,1331,355,,,,,,,
60,coche,0.22704578936100006,1,1291,315,1330,356,,,,,,,
61,coche,0.23022252321243286,1,1290,315,1328,356,,,,,,,
62,coche,0.29706212878227234,1,1290,318,1327,357,,,,,,,
63,coche,0.3804496228694916,1,1290,321,1327,358,,,,,,,
64,coche,0.40739622712135315,1,1290,321,1326,358,,,,,,,
65,coche,0.4345695972442627,1,1288,319,1327,358,,,,,,,
66,coche,0.4381939470767975,1,1288,319,1326,359,,,,,,,
67,coche,0.4800861179828644,1,1287,319,1326,360,,,,,,,
68,coche,0.45502686500549316,1,1286,319,1325,359,,,,,,,
69,coche,0.46710407733917236,1,1287,320,1325,359,,,,,,,
70,coche,0.5087140202522278,1,1287,320,1326,360,,,,,,,
71,coche,0.4411829113960266,1,1287,319,1325,358,,,,,,,
72,coche,0.5180420875549316,1,1286,319,1324,358,,,,,,,
73,coche,0.6030867695808411,1,1286,319,1324,358,,,,,,,
74,coche,0.5915001630783081,1,1286,320,1322,357,,,,,,,
75,coche,0.5864643454551697,1,1286,321,1321,356,,,,,,,
76,coche,0.5255552530288696,1,1286,321,1320,355,,,,,,,
77,coche,0.5083596110343933,1,1284,317,1321,355,,,,,,,
78,coche,0.5481662154197693,1,1282,316,1321,356,,,,,,,
79,coche,0.5074549913406372,1,1281,313,1322,356,,,,,,,
80,coche,0.4332694709300995,1,1281,311,1322,355,,,,,,,
81,coche,0.39960435032844543,1,1281,311,1321,356,,,,,,,
82,coche,0.37281084060668945,1,1281,312,1320,356,,,,,,,
83,coche,0.3627513647079468,1,1281,313,1319,356,,,,,,,
84,coche,0.3810155391693115,1,1281,313,1317,355,,,,,,,
85,coche,0.30648043751716614,1,1281,310,1318,354,,,,,,,
86,coche,0.33571571111679077,1,1280,308,1318,354,,,,,,,
87,coche,0.24600635468959808,1,1280,308,1318,354,,,,,,,
88,coche,0.2330915629863739,1,1281,308,1317,353,,,,,,,
89,coche,0.31397104263305664,1,1281,308,1317,352,,,,,,,
89,coche,0.3662901520729065,45,1463,318,1515,379,,,,,,,
90,coche,0.3425794839859009,1,1281,306,1316,351,,,,,,,
90,coche,0.2948123812675476,45,1463,319,1515,380,,,,,,,
91,coche,0.30329209566116333,1,1280,307,1315,352,,,,,,,
91,coche,0.4543529748916626,45,1460,318,1514,381,,,,,,,
92,coche,0.2930115759372711,1,1279,310,1314,354,,,,,,,
92,coche,0.4458886384963989,45,1460,317,1514,379,,,,,,,
93,coche,0.27572429180145264,1,1280,311,1313,354,,,,,,,
93,coche,0.5584008693695068,45,1459,319,1511,379,,,,,,,
94,coche,0.23985286056995392,1,1279,311,1312,353,,,,,,,
94,coche,0.5230675339698792,45,1458,319,1510,379,,,,,,,
95,coche,0.29273882508277893,1,1278,308,1312,352,,,,,,,
95,coche,0.5860460996627808,45,1457,319,1509,379,,,,,,,
95,persona,0.6101523637771606,46,0,249,54,478,,,,,,,
95,persona,0.4665065109729767,48,0,248,33,482,,,,,,,
96,coche,0.25612762570381165,1,1277,306,1312,352,,,,,,,
96,coche,0.6150713562965393,45,1456,319,1509,379,,,,,,,
96,persona,0.7595457434654236,46,0,237,62,486,,,,,,,
96,persona,0.20476536452770233,48,0,239,38,494,,,,,,,
97,coche,0.10477079451084137,1,1275,302,1313,351,,,,,,,
97,coche,0.725068986415863,45,1453,319,1509,381,,,,,,,
97,persona,0.7925880551338196,46,0,234,66,488,,,,,,,
98,coche,0.12239090353250504,1,1275,300,1313,350,,,,,,,
98,coche,0.710003137588501,45,1454,320,1509,381,,,,,,,
98,persona,0.8344922065734863,46,0,231,71,490,,,,,,,
99,coche,0.11635881662368774,1,1275,300,1312,348,,,,,,,
99,coche,0.720935583114624,45,1452,320,1508,381,,,,,,,
99,persona,0.8248565793037415,46,0,232,74,491,,,,,,,
100,coche,0.12840116024017334,1,1276,299,1312,347,,,,,,,
100,coche,0.7124612331390381,45,1450,320,1508,381,,,,,,,
100,persona,0.8245027661323547,46,1,235,76,492,,,,,,,
101,coche,0.18615777790546417,1,1273,306,1304,347,,,,,,,
101,coche,0.6718882322311401,45,1447,320,1507,381,,,,,,,
101,persona,0.8337914347648621,46,1,234,77,494,,,,,,,
102,coche,0.16542859375476837,1,1271,309,1300,347,,,,,,,
102,coche,0.6983845233917236,45,1445,320,1507,381,,,,,,,
102,persona,0.8625501990318298,46,1,233,78,497,,,,,,,
103,coche,0.19995176792144775,1,1270,310,1299,346,,,,,,,
103,coche,0.6965375542640686,45,1444,320,1508,382,,,,,,,
103,persona,0.8516513109207153,46,2,231,80,495,,,,,,,
104,coche,0.27757012844085693,1,1270,311,1299,346,,,,,,,
104,coche,0.7172192931175232,45,1444,320,1509,382,,,,,,,
104,persona,0.881547749042511,46,5,230,84,495,,,,,,,
105,coche,0.28713178634643555,1,1268,310,1299,348,,,,,,,
105,coche,0.7267347574234009,45,1443,320,1511,382,,,,,,,
105,persona,0.8320751190185547,46,10,232,88,492,,,,,,,
106,coche,0.30656862258911133,1,1267,310,1298,348,,,,,,,
106,coche,0.7279057502746582,45,1443,320,1511,382,,,,,,,
106,persona,0.8574923872947693,46,16,230,97,492,,,,,,,
107,coche,0.32878172397613525,1,1266,311,1297,347,,,,,,,
107,coche,0.7361509799957275,45,1441,320,1511,382,,,,,,,
107,persona,0.8772076964378357,46,26,228,108,492,,,,,,,
108,coche,0.4071144461631775,1,1265,312,1296,347,,,,,,,
108,coche,0.7313665151596069,45,1441,320,1512,382,,,,,,,
108,persona,0.8754120469093323,46,37,228,122,492,,,,,,,
109,coche,0.427267849445343,1,1264,313,1296,348,,,,,,,
109,coche,0.7311099767684937,45,1440,320,1512,381,,,,,,,
109,persona,0.8499664664268494,46,46,229,133,491,,,,,,,
110,coche,0.46067529916763306,1,1264,312,1296,348,,,,,,,
110,coche,0.7442873120307922,45,1438,320,1511,381,,,,,,,
110,persona,0.8643881678581238,46,51,230,141,490,,,,,,,
111,coche,0.5330501794815063,1,1264,312,1296,347,,,,,,,
111,coche,0.7565573453903198,45,1437,321,1511,381,,,,,,,
111,persona,0.8692200779914856,46,56,232,147,488,,,,,,,
112,coche,0.5089223384857178,1,1264,313,1296,348,,,,,,,
112,coche,0.7585999965667725,45,1436,321,1511,381,,,,,,,
112,persona,0.863241970539093,46,56,234,149,487,,,,,,,
113,coche,0.5064200162887573,1,1263,312,1296,348,,,,,,,
113,coche,0.7677131295204163,45,1434,321,1511,381,,,,,,,
113,persona,0.851904571056366,46,57,239,152,487,,,,,,,
114,coche,0.5131305456161499,1,1262,312,1295,348,,,,,,,
114,coche,0.7782629728317261,45,1433,321,1511,382,,,,,,,
114,persona,0.8458822965621948,46,59,241,156,488,,,,,,,
115,coche,0.46560242772102356,1,1262,312,1294,347,,,,,,,
115,coche,0.7960668206214905,45,1431,320,1511,382,,,,,,,
115,persona,0.8343983292579651,46,61,240,161,490,,,,,,,
116,coche,0.4358212947845459,1,1261,312,1294,347,,,,,,,
116,coche,0.7882728576660156,45,1430,321,1511,382,,,,,,,
116,persona,0.840100884437561,46,66,240,166,488,,,,,,,
117,coche,0.35739603638648987,1,1261,312,1294,348,,,,,,,
117,coche,0.7875261306762695,45,1428,321,1510,382,,,,,,,
117,persona,0.8090443015098572,46,74,239,172,485,,,,,,,
118,coche,0.3474529981613159,1,1260,312,1292,346,,,,,,,
118,coche,0.7969871163368225,45,1426,320,1510,382,,,,,,,
118,persona,0.790420651435852,46,82,238,177,482,,,,,,,
119,coche,0.4114495813846588,1,1260,312,1291,346,,,,,,,
119,coche,0.7998585104942322,45,1425,320,1511,382,,,,,,,
119,persona,0.7523788809776306,46,88,238,181,481,,,,,,,
120,coche,0.43128079175949097,1,1259,313,1291,347,,,,,,,
120,coche,0.7971441745758057,45,1424,321,1510,382,,,,,,,
120,persona,0.7273147106170654,46,95,240,186,479,,,,,,,
121,coche,0.3892093598842621,1,1258,314,1290,348,,,,,,,
121,coche,0.7642185091972351,45,1424,321,1511,382,,,,,,,
121,persona,0.7711434364318848,46,101,239,190,479,,,,,,,
122,coche,0.30020275712013245,1,1258,314,1289,347,,,,,,,
122,coche,0.7450766563415527,45,1423,321,1511,382,,,,,,,
122,persona,0.7684091329574585,46,106,241,195,480,,,,,,,
123,coche,0.3687039613723755,1,1257,313,1289,346,,,,,,,
123,coche,0.738476037979126,45,1423,321,1512,382,,,,,,,
123,persona,0.8112590909004211,46,112,242,200,479,,,,,,,
124,coche,0.4037700295448303,1,1253,314,1284,346,,,,,,,
124,coche,0.7410277724266052,45,1424,321,1513,382,,,,,,,
124,persona,0.8044100403785706,46,117,245,205,477,,,,,,,
125,coche,0.5272449851036072,1,1250,315,1283,346,,,,,,,
125,coche,0.7499867081642151,45,1424,321,1513,382,,,,,,,
125,persona,0.7919387221336365,46,121,248,208,477,,,,,,,
126,coche,0.483321875333786,1,1248,315,1282,347,,,,,,,
126,coche,0.7454974055290222,45,1425,322,1514,381,,,,,,,
126,persona,0.7937434911727905,46,125,247,212,475,,,,,,,
126,coche,0.3666929304599762,52,1406,321,1498,377,,,,,,,
127,coche,0.4475623667240143,1,1247,315,1282,347,,,,,,,
127,coche,0.7443793416023254,45,1424,322,1514,381,,,,,,,
127,persona,0.8094971776008606,46,128,242,218,475,,,,,,,
127,coche,0.39994576573371887,52,1403,321,1493,377,,,,,,,
128,coche,0.4516240656375885,1,1246,315,1283,347,,,,,,,
128,coche,0.7419688105583191,45,1424,322,1514,382,,,,,,,
128,persona,0.8074447512626648,46,131,238,222,475,,,,,,,
